회사명,EPS증가율평균,PER,ROE평균,PBR,BPS,latest_eps,52주베타값
AJ네트웍스,50.65613464057477,6.95,5.27,0.49,9555.0,241.0,0.55
AK홀딩스,227.41561593823084,12.6,3.0725,0.28,45450.0,663.0,0.36
BGF,83.1031811138456,3.64,4.725,0.2,18080.0,550.0,0.47
BGF리테일,43.335501669683914,10.41,18.665,1.72,66812.0,4042.0,-0.33
BNK금융지주,515.7842940040349,4.23,6.477499999999999,0.27,33524.0,662.0,0.35
BYC,70.20453425913486,13.98,4.119999999999999,0.5,65060.0,606.0,0.87
BYC우,70.20453425913486,13.98,4.119999999999999,0.5,65060.0,606.0,0.87
CJ,28.704607711975427,33.29,4.6725,0.76,156390.0,-4684.0,1.03
CJ CGV,34.98367261343039,-10.84,-16.17,0.97,5933.0,25.0,0.37
CJ4우(전환),28.704607711975427,33.29,4.6725,0.76,156390.0,-4684.0,1.03
CJ대한통운,-7.540920250472346,9.21,6.3575,0.53,177291.0,2403.0,0.31
CJ씨푸드,849.0350877192982,18.05,,1.51,2297.0,56.0,0.45
CJ씨푸드1우,849.0350877192982,18.05,,1.51,2297.0,56.0,0.45
CJ우,28.704607711975427,33.29,4.6725,0.76,156390.0,-4684.0,1.03
CJ제일제당,16.90599650318049,10.79,6.305,0.64,472361.0,9718.0,0.59
CJ제일제당 우,16.90599650318049,10.79,6.305,0.64,472361.0,9718.0,0.59
CR홀딩스,48.53915705801213,160.93,0.1399999999999999,0.4,14195.0,47.0,0.56
CS홀딩스,-3.446792187088582,3.76,7.12,0.24,286374.0,3475.0,0.28
DB,186.7562684635855,4.36,7.6625,0.72,2020.0,304.0,0.62
DB금융투자,49.206730495047026,8.87,1.7000000000000002,0.22,25403.0,158.0,0.08
DB손해보험,19.22850606222858,3.98,18.567500000000003,0.69,163057.0,6707.0,1.32
DB하이텍,12.21793441492367,7.66,13.6425,0.88,46025.0,1597.0,1.38
DGB금융지주,168.5262628722887,6.34,4.98,0.22,36001.0,607.0,0.54
DI동일,538.9800381392257,144.41,1.0125,1.22,30112.0,-99.0,0.16
DL,17192.628879478885,15.7,-1.2866666666666668,0.26,171215.0,518.0,1.42
DL우,17192.628879478885,15.7,-1.2866666666666668,0.26,171215.0,518.0,1.42
DL이앤씨,236.5293943018029,11.05,3.0625,0.26,113230.0,1055.0,0.57
DL이앤씨2우(전환),236.5293943018029,11.05,3.0625,0.26,113230.0,1055.0,0.57
DL이앤씨우,236.5293943018029,11.05,3.0625,0.26,113230.0,1055.0,0.57
DN오토모티브,-5.579262043440861,3.45,25.097499999999997,0.73,28017.0,942.0,-0.25
DRB동일,33.442772483548396,-40.11,1.8875,0.23,20095.0,-115.0,0.68
DSR,12.851647348065685,4.14,7.862500000000001,0.28,14214.0,202.0,0.68
DSR제강,-222.14373400696047,-1.9,-5.6625000000000005,0.34,11128.0,142.0,0.75
DS단석,-88.93235650797415,62.01,3.05,1.61,15958.0,-158.0,-0.1
E1,860.3878712576657,4.32,8.895000000000001,0.26,297410.0,3093.0,0.63
ESR켄달스퀘어리츠,,,,,,,0.5
F&F,-5.237684473204185,7.39,33.0525,1.78,38537.0,2180.0,1.05
F&F홀딩스,-0.3229218733778959,5.23,5.4375,0.25,55609.0,640.0,1.42
GKL,151.2489059210371,26.32,8.657499999999999,1.86,6690.0,98.0,0.0
GS,21.77571628037577,6.02,8.58,0.29,146401.0,-75.0,0.78
GS건설,134.43661153741473,-38.37,-6.382499999999999,0.35,52375.0,1386.0,0.36
GS글로벌,283.44525486250836,7.28,8.1725,0.62,6268.0,185.0,0.94
GS리테일,-1.494781100471613,-26.29,0.0875,0.55,39158.0,-581.0,0.53
GS우,21.77571628037577,6.02,8.58,0.29,146401.0,-75.0,0.78
HDC,14.361699741948811,4.96,4.8100000000000005,0.21,53025.0,723.0,0.58
HDC랩스,-3.649658264507586,18.28,4.785,0.74,11052.0,97.0,0.3
HDC현대EP,50.01140436624306,15.03,5.1049999999999995,0.35,12448.0,60.0,0.55
HDC현대산업개발,-6.730153594077506,8.87,5.8725000000000005,0.47,47929.0,496.0,0.57
HD한국조선해양,284.73387922366925,21.89,5.38,1.24,150910.0,2134.0,0.61
HD현대,106.83880923522452,23.93,4.71,0.64,120339.0,-418.0,0.34
HD현대건설기계,43.16819113036703,20.26,6.0475,0.56,92964.0,590.0,0.37
HD현대마린솔루션,,,,,,,0.3
HD현대마린엔진,-14.84617258165148,10.89,18.405,2.21,8641.0,295.0,0.31
HD현대미포,452.8527978667753,-48.77,-5.2775,1.99,50154.0,-4.0,0.28
HD현대에너지솔루션,24.05382577609986,-11.01,-5.12,0.78,32469.0,66.0,1.13
HD현대인프라코어,35.32941579679652,24.29,8.615,0.77,9678.0,-130.0,0.84
HD현대일렉트릭,3.961868223178792,23.24,36.565,8.54,38592.0,3242.0,0.46
HD현대중공업,126.075280777606,57.31,2.7575,3.0,61509.0,813.0,0.28
HJ중공업,65.52439497241964,11.41,-14.745000000000005,0.6,4391.0,625.0,0.86
HL D&I,-27.963302578036632,2.9,8.2675,0.24,10234.0,116.0,0.3
HLB글로벌,-1222.6657329598506,-19.6,-24.590000000000003,2.66,1908.0,-72.0,1.42
HL만도,-391.0080968201421,14.06,7.465,0.74,49956.0,-1206.0,0.85
HL홀딩스,68.5865229663214,15.09,4.3075,0.32,109840.0,-2247.0,0.28
HMM,84.71481018811726,4.11,7.5375,0.57,32290.0,2321.0,0.53
HS애드,1.970652011018708,6.55,8.8925,0.57,11167.0,335.0,0.29
HS화성,-124.62323515368234,-289.75,3.4325,0.21,39908.0,-317.0,0.27
HS효성,,,,,,,1.51
HS효성첨단소재,44.28741786311499,58.26,3.9775,1.87,154813.0,-1106.0,0.87
IHQ,198.48916083908003,-2.26,7.3625,0.68,15886.0,-90.0,0.0
JB금융지주,33.44744178297889,4.57,12.4475,0.55,27962.0,990.0,0.74
JW생명과학,-6.234567901234569,5.98,17.8,0.99,10992.0,427.0,0.31
JW중외제약,18.6262473187552,9.35,17.5875,2.23,12351.0,797.0,0.9
JW중외제약2우B,18.6262473187552,9.35,17.5875,2.23,12351.0,797.0,0.9
