종목이름,경쟁사
AJ네트웍스,"['AJ네트웍스', 'SK네트웍스', 'SG&G', '롯데렌탈']"
AK홀딩스,"['AK홀딩스', '대한유화', '태광산업', '이수화학']"
BGF,"['BGF', 'PI첨단소재', '레이크머티리얼즈', '나노신소재']"
BGF리테일,"['BGF리테일', 'GS리테일', '롯데쇼핑', '지어소프트']"
BNK금융지주,"['BNK금융지주', '신한지주', 'KB금융', '하나금융지주']"
BYC,"['BYC', '삼양통상', '대한방직', '형지엘리트']"
N/A,[]
CJ,"['CJ', 'LX홀딩스', '한화', '삼성물산']"
CJ CGV,"['CJ CGV', 'NEW', '쇼박스', '코퍼스코리아']"
N/A,[]
CJ대한통운,"['CJ대한통운', '한진', '현대글로비스', '세방']"
CJ씨푸드,"['CJ씨푸드', '사조동아원', '고려산업', '현대사료']"
N/A,[]
N/A,[]
CJ제일제당,"['CJ제일제당', '하림지주', '대상홀딩스', '동원F&B']"
N/A,[]
CR홀딩스,"['CR홀딩스', '일진다이아', '동국산업', '대창']"
CS홀딩스,"['CS홀딩스', '대호특수강', '하이스틸', '동일제강']"
DB,"['DB', '플래티어', '신세계 I&C', '아시아나IDT']"
DB금융투자,"['DB금융투자', '대신증권', '유안타증권', '신영증권']"
DB손해보험,"['DB손해보험', '삼성화재', '삼성생명', '한화생명']"
DB하이텍,"['DB하이텍', '원익IPS', '동진쎄미켐', '엠케이전자']"
DGB금융지주,"['DGB금융지주', 'JB금융지주', '카카오뱅크', '제주은행']"
DI동일,"['DI동일', '휴비스', '일신방직', '백산']"
DL,"['DL', '이수화학', '태광산업', '대한유화']"
N/A,[]
DL이앤씨,"['DL이앤씨', '동아지질', '우원개발', '국보디자인']"
N/A,[]
N/A,[]
DN오토모티브,"['DN오토모티브', '서진오토모티브', '대원강업', '한국무브넥스']"
DRB동일,"['DRB동일', '미창석유', '동일고무벨트', '금양']"
DSR,"['DSR', '영흥', '만호제강', 'DSR제강']"
DSR제강,"['DSR제강', 'DSR', '영흥', '만호제강']"
DS단석,"['DS단석', '애경케미칼', '제이씨케미칼', '고려아연']"
E1,"['E1', 'SK디스커버리', 'SK가스', '대성산업']"
ESR켄달스퀘어리츠,"['ESR켄달스퀘어리츠', '롯데리츠', '제이알글로벌리츠', 'SK리츠']"
F&F,"['F&F', '더네이쳐홀딩스', '한세실업', '영원무역홀딩스']"
F&F홀딩스,"['F&F홀딩스', '신성통상', '신원', '제이에스코퍼레이션']"
GKL,"['GKL', '강원랜드', '파라다이스', '롯데관광개발']"
GS,"['GS', 'S-Oil', 'HD현대', 'SK이노베이션']"
GS건설,"['GS건설', '현대건설', '대우건설', '코오롱글로벌']"
GS글로벌,"['GS글로벌', 'STX', '포스코인터내셔널', 'LX인터내셔널']"
GS리테일,"['GS리테일', '롯데쇼핑', 'BGF리테일', '이마트']"
N/A,[]
HDC,"['HDC', 'DL이앤씨', 'GS건설', '현대건설']"
HDC랩스,"['HDC랩스', '자이에스앤디', '신세계건설', '웰크론']"
HDC현대EP,"['HDC현대EP', '모베이스전자', 'HL홀딩스', '대원산업']"
HDC현대산업개발,"['HDC현대산업개발', '현대건설', 'GS건설', '대우건설']"
HD한국조선해양,"['HD한국조선해양', '한화오션', '삼성중공업', 'HD현대미포']"
HD현대,"['HD현대', 'SK', 'SK이노베이션', 'S-Oil']"
HD현대건설기계,"['HD현대건설기계', '두산에너빌리티', 'HD현대인프라코어', '두산밥캣']"
HD현대마린솔루션,"['HD현대마린솔루션', 'HD한국조선해양', '삼성중공업', '한화엔진']"
HD현대마린엔진,"['HD현대마린엔진', '인화정공', 'STX엔진', '케이에스피']"
HD현대미포,"['HD현대미포', 'HD한국조선해양', '한화오션', '삼성중공업']"
HD현대에너지솔루션,"['HD현대에너지솔루션', '에스에너지', 'SDN', '한전산업']"
HD현대인프라코어,"['HD현대인프라코어', '두산에너빌리티', 'HD현대건설기계', '두산밥캣']"
HD현대일렉트릭,"['HD현대일렉트릭', 'LS', 'LS ELECTRIC', '일진홀딩스']"
HD현대중공업,"['HD현대중공업', '한화오션', '삼성중공업', 'HD현대미포']"
HJ중공업,"['HJ중공업', '금호건설', '계룡건설', '태영건설']"
HL D&I,"['HL D&I', 'HJ중공업', '금호건설', '계룡건설']"
